relationship_id,:START_ID(Property),:END_ID(Owner),ownership_type,start_date,acquisition_price:long,ownership_percentage,relationship_type,is_current,source_system,source_load_ts,:TYPE
OWN_1001 0 16A_ENT_007871,1001 0 16A,ENT_007871,PRIMARY,2002-02-12,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.183032,OWNS
OWN_1001 0 17_ENT_001934,1001 0 17,ENT_001934,PRIMARY,2015-08-24,375000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.188128,OWNS
OWN_1001 0 170_ENT_004274,1001 0 170,ENT_004274,PRIMARY,2024-08-09,630000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.192659,OWNS
OWN_1001 0 171_ENT_000802,1001 0 171,ENT_000802,PRIMARY,2021-01-20,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.197198,OWNS
OWN_1001 0 172_ENT_004702,1001 0 172,ENT_004702,PRIMARY,2016-01-22,468000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.202027,OWNS
OWN_1001 0 173_ENT_001250,1001 0 173,ENT_001250,PRIMARY,2010-04-28,450000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.206597,OWNS
OWN_1001 0 174_ENT_006759,1001 0 174,ENT_006759,PRIMARY,2006-02-14,450000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.211119,OWNS
OWN_1001 0 175_ENT_005288,1001 0 175,ENT_005288,PRIMARY,2024-02-02,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.215672,OWNS
OWN_1001 0 176_ENT_007214,1001 0 176,ENT_007214,PRIMARY,2000-06-01,310000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.220283,OWNS
OWN_1001 0 177_ENT_011159,1001 0 177,ENT_011159,PRIMARY,2011-04-27,735000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.224780,OWNS
OWN_1001 0 178_ENT_000925,1001 0 178,ENT_000925,PRIMARY,2013-02-28,770000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.229267,OWNS
OWN_1001 0 18_ENT_001973,1001 0 18,ENT_001973,PRIMARY,2017-07-28,479000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.233800,OWNS
OWN_1001 0 180_ENT_008601,1001 0 180,ENT_008601,PRIMARY,2020-09-18,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.238256,OWNS
OWN_1001 0 181_ENT_006890,1001 0 181,ENT_006890,PRIMARY,1987-07-10,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.242708,OWNS
OWN_1001 0 182_ENT_011234,1001 0 182,ENT_011234,PRIMARY,2005-03-02,475000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.247885,OWNS
OWN_1001 0 183_ENT_010850,1001 0 183,ENT_010850,PRIMARY,2018-11-28,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.252654,OWNS
OWN_1001 0 184_ENT_000190,1001 0 184,ENT_000190,PRIMARY,2022-03-29,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.257164,OWNS
OWN_1001 0 185_ENT_009546,1001 0 185,ENT_009546,PRIMARY,2006-11-01,540000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.261643,OWNS
OWN_1001 0 186_ENT_008487,1001 0 186,ENT_008487,PRIMARY,2006-09-22,635900.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.266148,OWNS
OWN_1001 0 187_ENT_001848,1001 0 187,ENT_001848,PRIMARY,1992-09-09,218500.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.270754,OWNS
OWN_1001 0 19_ENT_003420,1001 0 19,ENT_003420,PRIMARY,2021-07-06,435000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.275354,OWNS
OWN_1001 0 190_ENT_002718,1001 0 190,ENT_002718,PRIMARY,2019-05-22,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.280417,OWNS
OWN_1001 0 1A_ENT_008698,1001 0 1A,ENT_008698,PRIMARY,2004-01-13,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.285204,OWNS
OWN_1001 0 2_ENT_003943,1001 0 2,ENT_003943,PRIMARY,2004-01-13,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.289985,OWNS
OWN_1001 0 20_ENT_005694,1001 0 20,ENT_005694,PRIMARY,2025-01-29,10.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.294594,OWNS
OWN_1001 0 21_ENT_007734,1001 0 21,ENT_007734,PRIMARY,2005-08-19,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.299403,OWNS
OWN_1001 0 22_ENT_002557,1001 0 22,ENT_002557,PRIMARY,2024-12-27,827500.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.304201,OWNS
OWN_1001 0 23_ENT_003987,1001 0 23,ENT_003987,PRIMARY,2006-10-17,250000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.308779,OWNS
OWN_1001 0 24_ENT_010477,1001 0 24,ENT_010477,PRIMARY,2022-08-15,545000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.313429,OWNS
OWN_1001 0 2A_ENT_008698,1001 0 2A,ENT_008698,PRIMARY,2004-01-13,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.317993,OWNS
OWN_1001 0 2B_ENT_008698,1001 0 2B,ENT_008698,PRIMARY,2004-01-13,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.322630,OWNS
OWN_1001 0 3_ENT_006559,1001 0 3,ENT_006559,PRIMARY,1955-01-01,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.327128,OWNS
OWN_1001 0 3A_ENT_009373,1001 0 3A,ENT_009373,PRIMARY,1954-08-11,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.331657,OWNS
OWN_1001 0 4_ENT_001395,1001 0 4,ENT_001395,PRIMARY,2014-08-28,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.336117,OWNS
OWN_1001 0 4A_ENT_007767,1001 0 4A,ENT_007767,PRIMARY,2011-02-02,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.340718,OWNS
OWN_1001 0 4B_ENT_011841,1001 0 4B,ENT_011841,PRIMARY,2023-10-05,575100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.345250,OWNS
OWN_1001 0 4C_ENT_003456,1001 0 4C,ENT_003456,PRIMARY,2019-05-23,464000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.349766,OWNS
OWN_1001 0 4D_ENT_005857,1001 0 4D,ENT_005857,PRIMARY,2010-05-27,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.354308,OWNS
OWN_1001 0 5_ENT_008911,1001 0 5,ENT_008911,PRIMARY,2017-12-28,550000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.358751,OWNS
OWN_1001 0 6_ENT_012017,1001 0 6,ENT_012017,PRIMARY,2005-07-29,400000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.363218,OWNS
OWN_1001 0 6A_ENT_009864,1001 0 6A,ENT_009864,PRIMARY,2006-06-30,393000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.367744,OWNS
OWN_1001 0 7_ENT_009304,1001 0 7,ENT_009304,PRIMARY,2012-02-10,337000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.372229,OWNS
OWN_1001 0 8_ENT_000457,1001 0 8,ENT_000457,PRIMARY,1978-11-17,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.376686,OWNS
OWN_1001 0 9_ENT_006705,1001 0 9,ENT_006705,PRIMARY,1991-11-05,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.381153,OWNS
OWN_1001 0 9A_ENT_006472,1001 0 9A,ENT_006472,PRIMARY,2025-01-15,10.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.385667,OWNS
OWN_1001 0 9B_ENT_005011,1001 0 9B,ENT_005011,PRIMARY,1996-07-30,240000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.390202,OWNS
OWN_1002 0 1_ENT_002907,1002 0 1,ENT_002907,PRIMARY,2020-12-11,673000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.394697,OWNS
