relationship_id,:START_ID(Permit),:END_ID(Property),issue_date,permit_type,estimated_cost:long,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_PROP_1000033_1125 0 17,1000033,1125 0 17,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.408519,ISSUED_FOR
PERMIT_PROP_1000034_1125 0 17,1000034,1125 0 17,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.408616,ISSUED_FOR
PERMIT_PROP_1000035_1125 0 17,1000035,1125 0 17,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.408712,ISSUED_FOR
PERMIT_PROP_1000036_1125 0 17,1000036,1125 0 17,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.408808,ISSUED_FOR
PERMIT_PROP_1000037_1125 0 17,1000037,1125 0 17,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.408904,ISSUED_FOR
PERMIT_PROP_1000038_2068 0 45,1000038,2068 0 45,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.408999,ISSUED_FOR
PERMIT_PROP_1000039_1125 0 17,1000039,1125 0 17,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409096,ISSUED_FOR
PERMIT_PROP_1000040_1125 0 17,1000040,1125 0 17,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409192,ISSUED_FOR
PERMIT_PROP_1000041_1125 0 17,1000041,1125 0 17,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409288,ISSUED_FOR
PERMIT_PROP_1000042_3053 0 44,1000042,3053 0 44,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409390,ISSUED_FOR
PERMIT_PROP_1000043_1073E 0 107,1000043,1073E 0 107,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409489,ISSUED_FOR
PERMIT_PROP_1000044_2087 0 50,1000044,2087 0 50,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409585,ISSUED_FOR
PERMIT_PROP_1000045_3037 0 39,1000045,3037 0 39,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409682,ISSUED_FOR
PERMIT_PROP_1000046_2087 0 50,1000046,2087 0 50,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409786,ISSUED_FOR
PERMIT_PROP_1000047_2024 0 66,1000047,2024 0 66,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409885,ISSUED_FOR
PERMIT_PROP_1000048_3023 0 22A,1000048,3023 0 22A,2025-06-13,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.409981,ISSUED_FOR
PERMIT_PROP_1000049_2089 0 22,1000049,2089 0 22,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410078,ISSUED_FOR
PERMIT_PROP_1000050_1079 0 74,1000050,1079 0 74,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410175,ISSUED_FOR
PERMIT_PROP_1000051_2089 0 22,1000051,2089 0 22,2025-06-13,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410271,ISSUED_FOR
PERMIT_PROP_1000052_3049 0 14,1000052,3049 0 14,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410368,ISSUED_FOR
PERMIT_PROP_1000053_2021 0 431A,1000053,2021 0 431A,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410466,ISSUED_FOR
PERMIT_PROP_1000054_2021 0 431A,1000054,2021 0 431A,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410561,ISSUED_FOR
PERMIT_PROP_1000055_1041 0 8,1000055,1041 0 8,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410658,ISSUED_FOR
PERMIT_PROP_1000056_2089 0 22,1000056,2089 0 22,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410755,ISSUED_FOR
PERMIT_PROP_1000057_1093 0 57,1000057,1093 0 57,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410851,ISSUED_FOR
PERMIT_PROP_1000058_1081 0 55,1000058,1081 0 55,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.410947,ISSUED_FOR
PERMIT_PROP_1000060_2032 0 54,1000060,2032 0 54,2025-06-13,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411101,ISSUED_FOR
PERMIT_PROP_1000061_1043 0 9C,1000061,1043 0 9C,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411197,ISSUED_FOR
PERMIT_PROP_1000063_1087 0 118,1000063,1087 0 118,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411350,ISSUED_FOR
PERMIT_PROP_1000064_3023 0 59,1000064,3023 0 59,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411448,ISSUED_FOR
PERMIT_PROP_1000065_1073D 0 154,1000065,1073D 0 154,2025-06-13,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.411545,ISSUED_FOR
