relationship_id,:END_ID(Permit),:START_ID(Contractor),work_start_date,work_category,contract_value:long,contractor_role,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_CONT_1000078_1537992921.0,1000078,1537992921.0,2025-06-12,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.526318,WORKED_ON
PERMIT_CONT_1000083_2428116808.0,1000083,2428116808.0,2025-06-12,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.526631,WORKED_ON
PERMIT_CONT_1000084_4294957128.0,1000084,4294957128.0,2025-06-09,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.526723,WORKED_ON
PERMIT_CONT_1000085_2992519550.0,1000085,2992519550.0,2025-06-16,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.526826,WORKED_ON
PERMIT_CONT_1000086_3238654903.0,1000086,3238654903.0,2025-06-09,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.526919,WORKED_ON
PERMIT_CONT_1000088_1611779704.0,1000088,1611779704.0,2025-06-16,EXTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.527069,WORKED_ON
PERMIT_CONT_1000089_2365695962.0,1000089,2365695962.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.527161,WORKED_ON
PERMIT_CONT_1000093_3356344800.0,1000093,3356344800.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.527422,WORKED_ON
PERMIT_CONT_1000095_3908245923.0,1000095,3908245923.0,2025-06-10,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.527572,WORKED_ON
PERMIT_CONT_1000097_960333637.0,1000097,960333637.0,2025-06-09,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.527721,WORKED_ON
PERMIT_CONT_1000098_3227188090.0,1000098,3227188090.0,2025-06-09,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.527813,WORKED_ON
PERMIT_CONT_1000099_107480268.0,1000099,107480268.0,2025-06-09,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.527906,WORKED_ON
