use_code_id:ID(UseCode),code,category,use_subcategory,description,is_residential:boolean,is_commercial:boolean,is_industrial,is_exempt,is_taxable,assessment_ratio,source_system,source_load_ts,:LABEL
910,910,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 910,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413509,UseCode
377,377,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 377,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413513,UseCode
321,321,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 321,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413517,UseCode
364,364,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 364,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413521,UseCode
907,907,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 907,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413524,UseCode
908,908,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 908,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413531,UseCode
428,428,INDUSTRIAL,UNKNOWN_INDUSTRIAL,Industrial Code 428,False,False,True,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413534,UseCode
384,384,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 384,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413538,UseCode
427,427,INDUSTRIAL,UNKNOWN_INDUSTRIAL,Industrial Code 427,False,False,True,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413542,UseCode
41,41,OTHER,UNCLASSIFIED,Unclassified Code 41,False,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413545,UseCode
374,374,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 374,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413549,UseCode
430,430,INDUSTRIAL,UNKNOWN_INDUSTRIAL,Industrial Code 430,False,False,True,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413552,UseCode
812,812,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 812,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413556,UseCode
38,38,OTHER,UNCLASSIFIED,Unclassified Code 38,False,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413559,UseCode
350,350,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 350,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413564,UseCode
376,376,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 376,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413573,UseCode
424,424,INDUSTRIAL,UNKNOWN_INDUSTRIAL,Industrial Code 424,False,False,True,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413576,UseCode
305,305,COMMERCIAL,HOTEL,Hotel/Motel,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413580,UseCode
19,19,OTHER,UNCLASSIFIED,Unclassified Code 19,False,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413583,UseCode
353,353,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 353,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413587,UseCode
313,313,COMMERCIAL,MANUFACTURING,Light Manufacturing,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413591,UseCode
39,39,OTHER,UNCLASSIFIED,Unclassified Code 39,False,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413594,UseCode
0,0,UNKNOWN,UNASSIGNED,Unknown/Unassigned Use Code,False,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413597,UseCode
